股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間,交易日
1101,台泥,25.35,24.24,39.48,K<D,38.96,0.55,0.72,-0.17,DIF<MACD,26.77,25.72,24.66,32.6,27141,30966,0.88,1899.52,16.59,,1.0,3.94,2026-02-06 21:52:00,
1102,亞泥,35.5,37.25,23.34,K>D,37.25,-0.52,-0.52,-0.0,DIF<MACD,37.68,35.86,34.05,39.9,6907,7395,0.93,1259.03,10.03,3.54,2.2,6.2,2026-02-06 21:52:02,
1103,嘉泥,13.85,25.27,37.42,K<D,40.0,0.0,0.04,-0.03,DIF<MACD,14.29,14.06,13.83,4.9,318,337,0.94,91.24,32.98,0.42,0.55,3.97,2026-02-06 21:52:03,
1104,環泥,29.5,34.66,31.96,K>D,36.36,-0.18,-0.15,-0.03,DIF<MACD,30.7,30.01,29.33,12.5,387,375,1.03,202.57,12.66,2.33,1.7,5.76,2026-02-06 21:52:04,
1108,幸福,15.1,51.1,43.41,K>D,45.45,0.03,0.03,-0.0,DIF<MACD,15.21,15.08,14.95,58.5,211,139,1.52,61.12,6.48,2.33,0.75,4.97,2026-02-06 21:52:05,
1109,信大,15.4,45.75,47.58,K<D,36.36,-0.02,-0.02,-0.0,DIF<MACD,15.55,15.45,15.35,26.2,72,79,0.91,52.54,14.13,1.09,0.9,5.84,2026-02-06 21:52:06,
1110,東泥,16.15,51.04,41.59,K>D,37.5,-0.07,-0.07,-0.0,DIF<MACD,16.66,16.31,15.97,26.4,123,181,0.68,92.04,40.38,0.4,0.3,1.86,2026-02-06 21:52:08,
1201,味全,14.45,40.66,44.27,K<D,44.44,-0.04,-0.05,0.01,DIF>MACD,14.62,14.47,14.31,45.3,160,194,0.83,73.13,25.8,0.56,0.5,3.46,2026-02-06 21:52:09,
1203,味王,39.45,39.21,41.09,K<D,49.09,-0.04,-0.02,-0.01,DIF<MACD,39.98,39.6,39.22,30.0,14,13,1.06,93.78,19.15,2.06,1.2,3.04,2026-02-06 21:52:10,
1210,大成,50.9,22.56,23.49,K<D,30.56,-0.18,-0.07,-0.11,DIF<MACD,52.87,51.69,50.5,17.0,1729,1703,1.02,425.88,12.98,3.92,2.83,5.56,2026-02-06 21:52:11,
1213,大飲,10.05,54.13,53.69,黃金交叉,52.73,-0.08,-0.08,0.0,黃金交叉,10.37,10.08,9.79,44.2,9,11,0.82,5.69,1.14,8.8,0.35,3.48,2026-02-06 21:52:12,
1215,卜蜂,147.0,30.63,32.33,K<D,41.86,1.91,2.63,-0.72,DIF<MACD,155.8,149.85,143.9,26.0,816,478,1.71,433.34,14.4,10.21,4.5,3.06,2026-02-06 21:52:13,
1216,統一,74.2,56.86,32.31,K>D,46.15,-0.85,-0.93,0.08,黃金交叉,76.69,73.84,70.99,56.3,8781,7270,1.21,4216.06,21.38,3.47,3.0,4.04,2026-02-06 21:52:15,
1217,愛之味,10.45,17.28,22.39,K<D,40.0,-0.0,0.02,-0.02,DIF<MACD,10.76,10.57,10.37,20.1,266,371,0.72,51.68,38.7,0.27,0.37,3.54,2026-02-06 21:52:16,
1218,泰山,18.05,21.54,28.58,K<D,34.48,-0.01,0.03,-0.04,DIF<MACD,18.64,18.34,18.05,-0.9,438,464,0.94,87.78,13.88,1.3,1.35,7.48,2026-02-06 21:52:17,
1219,福壽,13.55,70.73,62.87,K>D,54.55,0.01,-0.0,0.01,DIF>MACD,13.65,13.51,13.37,64.3,179,226,0.79,46.24,32.26,0.42,0.5,3.69,2026-02-06 21:52:19,
1220,台榮,12.7,47.44,60.13,K<D,31.58,0.06,0.07,-0.01,DIF<MACD,13.08,12.76,12.43,41.4,91,63,1.44,22.4,50.8,0.25,0.7,5.51,2026-02-06 21:52:20,
1225,福懋油,28.2,40.83,45.37,K<D,48.65,-0.18,-0.21,0.04,DIF>MACD,28.88,28.42,27.96,26.0,65,157,0.42,68.32,20.14,1.4,0.14,0.5,2026-02-06 21:52:21,
1227,佳格,28.8,26.14,25.28,K>D,33.33,-0.33,-0.32,-0.01,DIF<MACD,29.84,29.23,28.61,15.3,430,728,0.59,261.62,19.73,1.46,1.4,4.86,2026-02-06 21:52:23,
1229,聯華,44.95,9.76,14.89,K<D,27.85,-0.47,-0.33,-0.14,DIF<MACD,47.58,46.24,44.9,2.0,1658,1527,1.09,804.03,17.63,2.55,1.3,2.89,2026-02-06 21:52:24,
1231,聯華食,92.8,28.42,32.9,K<D,41.03,-0.73,-0.74,0.01,DIF>MACD,95.78,94.38,92.97,-6.0,556,344,1.61,276.97,25.71,3.61,1.6,1.72,2026-02-06 21:52:25,
1232,大統益,147.5,40.32,35.42,K>D,56.52,0.4,0.28,0.12,DIF>MACD,147.64,145.97,144.31,95.7,120,66,1.82,235.96,18.35,8.04,7.0,4.75,2026-02-06 21:52:26,
1233,天仁,32.2,49.82,37.72,K>D,42.11,0.03,0.05,-0.02,DIF<MACD,32.4,32.21,32.02,47.3,34,33,1.03,29.16,40.25,0.8,0.95,2.95,2026-02-06 21:52:28,
1234,黑松,36.9,51.52,44.18,K>D,37.5,-0.16,-0.16,0.01,DIF>MACD,37.45,37.1,36.75,21.1,102,75,1.37,148.29,18.83,1.96,1.9,5.15,2026-02-06 21:52:29,
